pattern_key_v2,n,1号艇,威力1位,威力2位,威力3位,威力4位,威力5位
1号[粘り型] | 筆頭[2号:差し] | 連動有,26888,0.6596994941981553,0.12685956560547457,0.09431716750966974,0.06259297828027373,0.04061291282356441,0.015917881582862243
1号[まくり差され型] | 筆頭[5号:差し] | 連動無,7,0.5714285714285714,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
1号[抜かれ型] | 筆頭[4号:差し] | 連動無,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0
1号[まくり差され型] | 筆頭[6号:差し] | 連動有,5,0.6,0.0,0.0,0.2,0.2,0.0
1号[抜かれ型] | 筆頭[3号:差し] | 連動無,5,0.6,0.0,0.2,0.2,0.0,0.0
1号[抜かれ型] | 筆頭[4号:まくり差し] | 連動無,5,0.6,0.2,0.0,0.0,0.2,0.0
1号[抜かれ型] | 筆頭[5号:差し] | 連動無,4,0.5,0.0,0.25,0.25,0.0,0.0
1号[まくり差され型] | 筆頭[6号:差し] | 連動無,4,0.5,0.0,0.25,0.25,0.0,0.0
1号[抜かれ型] | 筆頭[2号:まくり] | 連動無,4,0.25,0.25,0.25,0.25,0.0,0.0
1号[まくり差され型] | 筆頭[6号:まくり] | 連動無,3,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
1号[抜かれ型] | 筆頭[6号:まくり差し] | 連動無,3,1.0,0.0,0.0,0.0,0.0,0.0
1号[差され型] | 筆頭[6号:まくり] | 連動無,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
1号[差され型] | 筆頭[6号:まくり差し] | 連動無,2,0.0,1.0,0.0,0.0,0.0,0.0
1号[抜かれ型] | 筆頭[6号:まくり] | 連動有,2,0.5,0.0,0.0,0.5,0.0,0.0
1号[抜かれ型] | 筆頭[5号:まくり] | 連動無,1,0.0,0.0,0.0,0.0,1.0,0.0
1号[抜かれ型] | 筆頭[5号:差し] | 連動有,1,0.0,0.0,0.0,0.0,1.0,0.0
1号[抜かれ型] | 筆頭[6号:まくり] | 連動無,1,0.0,0.0,0.0,0.0,1.0,0.0
1号[抜かれ型] | 筆頭[6号:まくり差し] | 連動有,1,1.0,0.0,0.0,0.0,0.0,0.0
1号[抜かれ型] | 筆頭[6号:差し] | 連動有,1,1.0,0.0,0.0,0.0,0.0,0.0
1号[抜かれ型] | 筆頭[6号:差し] | 連動無,1,0.0,0.0,0.0,1.0,0.0,0.0
